title,nhan_that,du_doan,confidence,loai_loi,nguyen_nhan,desc_100
"Middle/Senior Java Developer (Spring Boot, English, AI)",Java Developer,Backend Developer,-0.3306365571377689,FP/FN,Chồng lấp ngữ nghĩa,top 3 reasons to join us attractive salary benefits hybrid working technical training sessions internal external pvi hea
Full Stack Developer (React/Node.js),Other IT Role,Full-stack Developer,0.21094116856259948,FP/FN,Other IT Role quá rộng,about us founded in 2014 eastgate software is a software development company that builds custom business solutions and a
Senior Java Developer,Backend Developer,Java Developer,0.25054998679873575,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc tham gia phát triển các dự án mảng tài chính số viettel pay ví cá nhân ví doanh nghiệp ... . cung cấp sả
Software Engineer (C#),Software Engineer,Other IT Role,0.008616498010496465,FP/FN,Other IT Role quá rộng,fortna partners with the world s leading brands to transform omnichannel and parcel distribution operations. known world
Server Developer (C Language),Backend Developer,Other IT Role,-0.2878292592084205,FP/FN,Other IT Role quá rộng,mô tả công việc develop server side systems using unix/linux c programming within the kiwoom platform utilizing cisam ip
Lập Trình Viên,Software Engineer,Full-stack Developer,-0.6164233749734565,FP/FN,Thiếu tín hiệu đặc trưng,mô tả công việc lead và bảo trì các dịch vụ dựa trên ai thiết kế quản lý phát triển frontend và backend thiết kế giải ph
"Full Stack Developer (.NET, ReactJS)",Other IT Role,Full-stack Developer,0.6389743484509811,FP/FN,Other IT Role quá rộng,join aperia solutions a leader in saas solutions for the payments and compliance industries. aperia is a texas based fin
"Junior Java Developer (SQL, Spring)",Backend Developer,Java Developer,0.00695038585442731,FP/FN,Chồng lấp ngữ nghĩa,top 3 reasons to join us nền tảng cơ sở vững chắc đội ngũ nhân lực chuyên nghiệp môi trường làm việc thân thiện tiềm năn
Java Technical Lead,Other IT Role,Software Engineer,-0.3435173433792974,FP/FN,Other IT Role quá rộng,mô tả công việc work as senior software developer on the web based application product in java related and open source t
Cloud Security Engineer (Remote),Other IT Role,DevOps/Cloud/System Engineer,-0.05868679178765357,FP/FN,Other IT Role quá rộng,resola inc a pioneering force in ai solutions for marketing and advertising is seeking an experienced cloud security eng
Software Quality Assurance Engineer,Other IT Role,QA Engineer,0.5693500678494412,FP/FN,Other IT Role quá rộng,as a software qa engineer you will ensure the delivery of high quality software products by designing comprehensive test
Developer (.NET),Backend Developer,Other IT Role,-0.5266482708501997,FP/FN,Other IT Role quá rộng,company description technology is our how. and people are our why. for over two decades we have been harnessing technolo
"CHUYÊN VIÊN CAO CẤP LẬP TRÌNH (JAVA, SPRING)",Software Engineer,Backend Developer,-0.4547941978553612,FP/FN,Chồng lấp ngữ nghĩa,bộ phận đổi mới sáng tạo công nghệ user innovation báo cáo giám đốc công nghệ công việc chính tối ưu hóa và đảm bảo tính
Developer cho website/ứng dụng,Other IT Role,Mobile Developer,-0.4475981242699625,FP/FN,Other IT Role quá rộng,mô tả công việc công việc triển khai trang web / ứng dụng theo yêu cầu hỗ trợ bộ phận chăm sóc khách hàng và đội ngũ bán
"Automation Tester (Java, Oracle, Selenium, SQL)",Other IT Role,QA Engineer,0.02040722637032455,FP/FN,Other IT Role quá rộng,tham gia kiểm thử test tự động automation các phần mềm hệ thống phần mềm. xây dựng kịch bản automation test xây dựng too
QC Engineer,Other IT Role,QA Engineer,0.3539304504549763,FP/FN,Other IT Role quá rộng,about us kegmil is revolutionizing the way mission critical facilities and assets are repaired and maintained via comple
Front End Developers - AI Training [Remote],Frontend Developer,Other IT Role,-0.4869276186958438,FP/FN,Other IT Role quá rộng,requirements swift python java go verilog javascript c++ or c# coding experience required this is a great opportunity to
"Client Developer (Unity, C#, JavaScript)",Other IT Role,Game Developer,0.32943295600932354,FP/FN,Other IT Role quá rộng,xây dựng phát triển tính năng gameplay như lập trình các cơ chế gameplay di chuyển nhân vật chiến đấu thu thập vật phẩm 
"Automation Test Engineer (Tester, Python, English)",Other IT Role,QA Engineer,-0.004790952727154574,FP/FN,Other IT Role quá rộng,lg electronics development vietnam lgedv produces high quality in car infotainment systems that deliver both information
Software Internship,Software Engineer,Other IT Role,-0.3182006961125912,FP/FN,Other IT Role quá rộng,chương trình tuyển dụng và đào tạo tài năng trẻ khối ngành công nghệ thông tin từ một trong những công ty hàng đầu lĩnh 
Lead Java Developer,Other IT Role,Java Developer,-0.2903266031916646,FP/FN,Other IT Role quá rộng,your job responsibilities provide hands on leadership to the design development and deployment of technical solutions co
Chuyên viên phát triển chương trình,Other IT Role,Game Developer,-0.41743455751156655,FP/FN,Other IT Role quá rộng,mô tả công việc trao đổi và thống nhất định hướng nội dung khóa học với các giáo viên đánh giá giáo viên và góp ý cho gv
Java Developer (Middle/Senior),Backend Developer,Java Developer,-0.3737868742839425,FP/FN,Chồng lấp ngữ nghĩa,job description design build and maintain apis services debug production issues across services and multiple levels of t
Automation Tester Engineer,Other IT Role,QA Engineer,0.14261385037471697,FP/FN,Other IT Role quá rộng,top 3 reasons to join us attractive salary and bonus package premium aon healthcare insurance fully sponsored training t
Product Engineer – Growth & Automation,Other IT Role,Frontend Developer,-0.427160304893652,FP/FN,Other IT Role quá rộng,now we need someone to make the platform feel intelligent and seamless across internal tools user facing flows and smart
Progress OpenEdge Software Developer,Other IT Role,Software Engineer,-0.2826182299223349,FP/FN,Other IT Role quá rộng,progress openedge developer 100 remote work position position overview as a progress openedge developer you will work wi
【教育事業】ソフトウェアエンジニア（データサイエンス）,Software Engineer,Other IT Role,-0.3076586626281869,FP/FN,Other IT Role quá rộng,職務内容様々な授業を受けることができるweb上の学習サービス zen study や先生向けのコーチング支援webサービス zen compass また関連する教育サービスのデータ活用をメインにした技術検証 それをアプリケーションに実装して
"Java Kotlin Dev (OOP, SQL, Spring, Git)",Software Engineer,Backend Developer,-0.4750419163097135,FP/FN,Chồng lấp ngữ nghĩa,job description develop new features or maintain existing features conduct testing to ensure the features are delivered 
Chuyên Gia/CVCC Hỗ Trợ Phát Triển Ứng Dụng,Other IT Role,Backend Developer,-0.2767211808858485,FP/FN,Other IT Role quá rộng,mô tả công việc lập trình và phát triển các hệ thống và ứng dụng của công ty tài chính. phát triển hoặc phối hợp với các
"Application Integration Engineer (Java, English)",Other IT Role,Software Engineer,-0.4314915743846551,FP/FN,Other IT Role quá rộng,ceva logistics provides global supply chain solutions to connect people products and providers all around the world. pre
Intern C#,Other IT Role,Software Engineer,-0.3571500531373013,FP/FN,Other IT Role quá rộng,mô tả công việc tham gia phát triển và bảo trì các ứng dụng trên nền tảng .net đặc biệt là các ứng dụng wpf/winform. hỗ 
Blockchain Developer (Có Kinh Nghiệm Frontend),Other IT Role,Frontend Developer,-0.39259314531755907,FP/FN,Other IT Role quá rộng,mô tả công việc tham gia phát triển frontend của ứng dụng web hiện đại giàu tương tác với yêu cầu cao về chất lượng và đ
Software Development Intern,Other IT Role,Backend Developer,-0.5318070759207469,FP/FN,Other IT Role quá rộng,mô tả công việc assist in designing coding testing and debugging software projects including cw website stock screener c
Middle/ Senior Java Developer (English),Java Developer,Backend Developer,-0.38334783997359334,FP/FN,Chồng lấp ngữ nghĩa,about us at cj olivenetworks vina we drive digital transformation and innovation of space and daily life with our experi
Middle Java Software Engineer,Software Engineer,Backend Developer,-0.00785690555188534,FP/FN,Chồng lấp ngữ nghĩa,we are seeking a skilled middle java software engineer to join our team for a healthcare project based in the us. the su
AI Developer Experience Lead,AI Engineer,Other IT Role,0.024316531924945817,FP/FN,Other IT Role quá rộng,at ol vietnam we have worked alongside our parent company orange logic llc to support some of the world s largest enterp
Structural Engineer (Transportation Infrastructure),Other IT Role,Software Engineer,-0.4838190963037594,FP/FN,Other IT Role quá rộng,take on a role in leading international projects for the development of transport infrastructure such as bridges and tun
Kỹ Sư PLC_Không Yêu Cầu Kinh Nghiệm,Embedded Engineer,Other IT Role,-0.025189585063005115,FP/FN,Other IT Role quá rộng,mô tả công việc mô phỏng lập trình chạy thử hệ thống tự động hóa tích hợp plc siemens robot công nghiệp abb và các thiết
Java Engineer- Compliance,Backend Developer,Full-stack Developer,-0.6863883437195937,FP/FN,Thiếu tín hiệu đặc trưng,binance is a leading global blockchain ecosystem behind the world s largest cryptocurrency exchange by trading volume an
"Middle/Senior C# Developer (WPF, English) - Up to 3200$",Backend Developer,Java Developer,-0.12088432253737413,FP/FN,Chồng lấp ngữ nghĩa,rakuten fintech vietnam co. ltd. is the company which was established in 2021 and the subsidiary of rakuten card which i
Senior Java Software Engineer,Other IT Role,Software Engineer,-0.5020254446118342,FP/FN,Other IT Role quá rộng,company description kms technology was established in 2009 as a u.s. based software services company. with development c
Java Developer Lead,Other IT Role,Backend Developer,-0.4856065282900468,FP/FN,Other IT Role quá rộng,mô tả công việc phát triển triển khai và duy trì các ứng dụng web sử dụng java và các framework liên quan. tham gia vào 
Nhân viên QA,QA Engineer,Other IT Role,-0.03475704019665793,FP/FN,Other IT Role quá rộng,mô tả công việc trực tiếp giám sát các hoạt động của bếp để đánh giá tình hình theo từng công đoạn tiếp nhận sơ chế chế 
Senior Java Developer (HCM),Backend Developer,Software Engineer,-0.2591453936825475,FP/FN,Chồng lấp ngữ nghĩa,job description work as software developer on the web based application product in java related and open source technolo
"(Đống Đa HN) Lập trình Game Front-end (Unity, Cocos2d)",Frontend Developer,Mobile Developer,-0.19277533205547526,FP/FN,Thiếu tín hiệu đặc trưng,top 3 reasons to join us không có over time cân bằng cuộc sống cơ hội tiếp cận công nghệ mới ai đóng bảo hiểm full lương
SYSTEM ENGINEER,DevOps/Cloud/System Engineer,Other IT Role,-0.21013015200429194,FP/FN,Other IT Role quá rộng,system engineer 12025 06 30 apply now responsibilities saas management onboard configure and maintain software applicati
"Python Developer (Apache Airflow, SQL)",Backend Developer,Other IT Role,-0.482335997972593,FP/FN,Other IT Role quá rộng,who are we digital unicorn is a french digital agency with a passionate and ambitious team. we specialize in mobile appl
Software Engineer (WordPress & ReactJS),Software Engineer,Frontend Developer,0.014024311529191147,FP/FN,Thiếu tín hiệu đặc trưng,at nfq we focus on scaling business helping companies grow optimize and transform through technology and strategic consu
Associate System Engineer,Other IT Role,DevOps/Cloud/System Engineer,0.8381744687594007,FP/FN,Other IT Role quá rộng,mô tả công việc hỗ trợ kỹ thuật level 2 technical support/onboarding cho khách hàng sử dụng các dịch vụ vngcloud kuberne
Unity Developer,Other IT Role,Mobile Developer,-0.44549989064680695,FP/FN,Other IT Role quá rộng,mô tả công việc implement and improve a variety of fast and efficient core software using unity. maintain and build code
Python Developer,Backend Developer,Frontend Developer,-0.4599157088021371,FP/FN,Thiếu tín hiệu đặc trưng,job backend lead python react.js/next.js location hcmc key responsibilities lead the technical direction of projects by 
"Lập Trình Viên C, C++",Other IT Role,Software Engineer,-0.11209585981520165,FP/FN,Other IT Role quá rộng,làm việc tại kobe nhật bản đối tượng nhận ứng viên từ việt nam sang nhật hoặc đang sinh sống và làm việc tại nhật lập tr
MIDDLE JAVA DEVELOPER,Java Developer,Backend Developer,-0.2319739065123506,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc phát triển và vận hành các tính năng trong hệ sinh thái ứng dụng youmed. phối hợp chặt chẽ với khách hàn
Lập Trình Wordpress Developer,Other IT Role,Frontend Developer,-0.31896149206068247,FP/FN,Other IT Role quá rộng,thiết kế lập trình và phát triển các website trên nền tảng wordpress. tối ưu hóa hiệu suất bảo mật và seo cho các trang 
"Blockchain Wallet Engineer (Java, Golang)",Other IT Role,Backend Developer,-0.35376017970539375,FP/FN,Other IT Role quá rộng,top 3 reasons to join us flexible working time mon fri . attractive salary and bonus young friendly colleagues. job desc
Software Engineer - Kỹ Sư Cầu Nối Tiếng Hàn,Software Engineer,Other IT Role,-0.33677454990978484,FP/FN,Other IT Role quá rộng,mô tả công việc bridge in communication with korean clients on all project related matters. analyze clarify and transfer
Java Software Engineer,Backend Developer,Software Engineer,-0.04209064930993145,FP/FN,Chồng lấp ngữ nghĩa,job description work in a team of engineers to implement backend services in the platform build service definitions open
Senior SRE,Other IT Role,DevOps/Cloud/System Engineer,-0.06123352239386726,FP/FN,Other IT Role quá rộng,begroup strives to build reliable and easy to use systems. we believe in measuring all aspects of our applications and i
Software Engineer,Full-stack Developer,AI Engineer,0.13398957281624857,FP/FN,Thiếu tín hiệu đặc trưng,chức danh công việc kỹ sư lập trình phần mềm ai/ml bộ phận khối nghiên cứu và phát triển. mô tả công việc chúng tôi đang
AngularJS Developer,Frontend Developer,Software Engineer,-0.6225294446260838,FP/FN,Thiếu tín hiệu đặc trưng,in addition to having a good knowledge of best practice software development you will be required to code and debug appl
Leader Tester Engineer (QA QC/ SQL/ ERP),Other IT Role,QA Engineer,0.7861863313342976,FP/FN,Other IT Role quá rộng,1. lập kế hoạch kiểm thử xây dựng test plan phù hợp với từng giai đoạn dự án erp sit uat regression... . xác định phạm v
Web Developer,Other IT Role,Frontend Developer,-0.25585146631889655,FP/FN,Other IT Role quá rộng,mô tả công việc develop and maintain web apps using java spring boot. work directly with remote team to clarify tasks an
WordPress Developer (Onsite |Remote),Other IT Role,Backend Developer,-0.3343480959208522,FP/FN,Other IT Role quá rộng,we re passionate about adding great people to our team. we want people who have hustle and a desire to make things bette
Fresher .NET,Software Engineer,Backend Developer,-0.4054125519620407,FP/FN,Chồng lấp ngữ nghĩa,developing projects for japanese english and domestic customers creating backend components with c# net core mvc fronten
DevSecOps Engineer,Other IT Role,DevOps/Cloud/System Engineer,0.04959168794356983,FP/FN,Other IT Role quá rộng,top 3 reasons to join us mức lương cạnh tranh hấp dẫn môi trường làm việc chuyên nghiệp thân thiện được làm việc với các
Web Developer,Other IT Role,Frontend Developer,-0.286487598385446,FP/FN,Other IT Role quá rộng,headquarter daoukiwoom group find more at industry finance trading develop and maintain web apps using java spring boot 
Senior Software Engineer (Java/Python/LLM),Software Engineer,Other IT Role,-0.2378483335650787,FP/FN,Other IT Role quá rộng,binance is a leading global blockchain ecosystem behind the world s largest cryptocurrency exchange by trading volume an
DevOps Co-Founders Wanted | Builders of Scalable Tech Infrastructure,DevOps/Cloud/System Engineer,Embedded Engineer,-0.3711554287384119,FP/FN,Thiếu tín hiệu đặc trưng,about antler we are a global early stage investment firm that invests in startups from day zero. we provide funding ment
Junior Dev Odoo,Backend Developer,Other IT Role,-0.5000355195161222,FP/FN,Other IT Role quá rộng,tham gia trực tiếp vào team dự án phát triển và triển khai hệ thống odoo nội bộ và cho các khách hàng công việc cụ thể +
RTOS Developer,Other IT Role,Embedded Engineer,0.6088983825363148,FP/FN,Other IT Role quá rộng,about company a subsidiary of the fpt group fpt software is known as a leading global information technology service pro
Mobile App Developer,Mobile Developer,Frontend Developer,-0.16075416809227683,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc lập trình mobile app cho phần mềm của công ty phần mềm chuyên về bán hàng phần mềm chuyên về bán lẻ phần
Fresher .NET/JS/CSS,Other IT Role,Backend Developer,-0.3844510526392937,FP/FN,Other IT Role quá rộng,mô tả công việc tham gia nghiên cứu phát triển sản phẩm phần mềm trong lĩnh vực ngân hàng và tài chính digital banking t
Java Technical Lead,Other IT Role,Backend Developer,-0.12224921717919601,FP/FN,Other IT Role quá rộng,mô tả công việc work as senior software developer on the web based application product in java related and open source t
Tuyển Nhân Viên ML Engineer,Other IT Role,AI Engineer,0.16509978030774763,FP/FN,Other IT Role quá rộng,mô tả công việc psa là công ty ecommerce hoạt động trong các lĩnh vực print on demand dropshipping fulfillment và bán lẻ
"Team Leader Back-End Developer (Golang, SQL)",Other IT Role,Backend Developer,0.2829188915489562,FP/FN,Other IT Role quá rộng,job description design develop and maintain robust and scalable backend systems using golang. collaborate with front end
QA Manager (Head of Quality),Other IT Role,QA Engineer,0.22863212862601445,FP/FN,Other IT Role quá rộng,1. define and lead qa strategy develop and implement a comprehensive qa strategy aligned with vnggames goals including t
Low-Code Developer,Other IT Role,Java Developer,-0.20423282100028317,FP/FN,Other IT Role quá rộng,mô tả công việc we are looking for an enthusiastic and eager junior salesforce/outsystems/servicenow developer to join o
Software Development Intern,Other IT Role,Full-stack Developer,-0.4410645076960322,FP/FN,Other IT Role quá rộng,webmd is an equal opportunity/affirmative action employer and does not discriminate on the basis of race ancestry color 
Middle Ruby On Rails,Other IT Role,Backend Developer,-0.2128660880393305,FP/FN,Other IT Role quá rộng,mô tả công việc participate in the development and maintenance of web applications based on ruby on rails. participating
Trưởng Nhóm Lập Trình PHP,Other IT Role,Backend Developer,0.1235688982896107,FP/FN,Other IT Role quá rộng,mô tả công việc phát triển các hệ thống sản phẩm của công ty xây dựng hệ thông api kết nối với các hệ thống của google f
ReactJS Developer - Level Middle,Frontend Developer,Full-stack Developer,-0.21019817673109753,FP/FN,Thiếu tín hiệu đặc trưng,voyager is looking for a middle level reactjs developer to join our product development team. this role requires buildin
React Native developer,Frontend Developer,Mobile Developer,0.2399920642608402,FP/FN,Thiếu tín hiệu đặc trưng,top 3 reasons to join us compelling rewards 13th month salary working 5 weekdays and flexible working time international
"Senior DevOps Engineering ( Python, AWS)",DevOps/Cloud/System Engineer,Other IT Role,0.08057696885068455,FP/FN,Other IT Role quá rộng,i. công tác vận hành dịch cụ công nghệ phân công điều phối xử lý trực tiếp các yêu cầu về dịch vụ công nghệ được giao đả
Embedded AI Engineer,Embedded Engineer,AI Engineer,0.17445744525897489,FP/FN,Thiếu tín hiệu đặc trưng,company overview at motorola solutions we believe that everything starts with our people. we re a global close knit comm
Senior Developer,Software Engineer,Backend Developer,-0.6851246487489004,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc tuân thủ các tiêu chuẩn lập trình xây dựng mã nguồn chất lượng cao dễ bảo trì. luôn duy trì động lực và 
Backend Intern (NestJS / FastAPI),Other IT Role,Backend Developer,-0.31953191739643405,FP/FN,Other IT Role quá rộng,mô tả công việc tham gia vào dự án thật dưới sự hướng dẫn của mentor học và thực hành phát triển api sử dụng nestjs và f
Senior Software Engineer,Software Engineer,Other IT Role,-0.1944265979605064,FP/FN,Other IT Role quá rộng,take the clearer route to smart career growth. at clearer.io we re reimagining ecommerce by enhancing search discovery a
"Automation Test Engineer (Java, Tester, QA QC) ~ $2000",Other IT Role,QA Engineer,0.020128734692043015,FP/FN,Other IT Role quá rộng,top 3 reasons to join us attractive competitive salary up to 2000 professional environment annual 5 star company trip jo
"(Senior) Automation Tester (QA/QC, Java, JavaScript)",Other IT Role,QA Engineer,0.4083040621142615,FP/FN,Other IT Role quá rộng,job description as a senior automation tester you ll lead automation efforts for web mobile and api platforms ensuring h
(Senior) Java Developer (Integration),Java Developer,Software Engineer,-0.3671097266358605,FP/FN,Thiếu tín hiệu đặc trưng,ceva logistics provides global supply chain solutions to connect people products and providers all around the world. pre
Quality Control Lead,Other IT Role,QA Engineer,-0.34136361687986083,FP/FN,Other IT Role quá rộng,top 3 reasons to join us the world of passion challenge innovation we re a family of young souls united by talents passi
Back-End Developer,Other IT Role,Backend Developer,-0.38713648240953735,FP/FN,Other IT Role quá rộng,mô tả công việc thiết kế phát triển vận hành và tối ưu hệ thống back end phục vụ + sản xuất quản lý vật tư nesting ai cn
Senior Java Developer,Backend Developer,Java Developer,0.25054998679873575,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc tham gia phát triển các dự án mảng tài chính số viettel pay ví cá nhân ví doanh nghiệp ... . cung cấp sả
Kỹ Sư Lập Trình C,Backend Developer,Software Engineer,-0.09207098242907719,FP/FN,Chồng lấp ngữ nghĩa,tham gia từ giai đoạn thiết kế đến triển khai sản phẩm của siêu dự án phát triển phần mềm cad cho khách hàng nhật bản. d
Frontend Leader (Angular),Frontend Developer,Other IT Role,-0.21974856591112024,FP/FN,Other IT Role quá rộng,1. mô tả công việc chịu trách nhiệm thiết kế và triển khai các ứng dụng web/mobile có khả năng mở rộng. đáp ứng các yêu 
Java Developer,Java Developer,Backend Developer,-0.21151097905493865,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc phát triển sản phẩm phần mềm trên nền tảng java strust .cho các đối tượng khác nhau tham gia vào các gia
Senior Golang Developer,Backend Developer,Other IT Role,-0.5378129819632035,FP/FN,Other IT Role quá rộng,about us at our company we re a team that is hardworking logical and fast to execute. we don t care what your degree is.
.NET Developer (all genders),Backend Developer,Frontend Developer,-0.5814484258839036,FP/FN,Thiếu tín hiệu đặc trưng,hrs reinvents how businesses work stay and pay. counting more than 5.000 corporations and 40 of fortune 500 companies in
HCM-REQ Senior NodeJS,Backend Developer,Other IT Role,-0.3499514970889318,FP/FN,Other IT Role quá rộng,job description developing and maintaining all server side network components. ensuring optimal performance of the centr
DevOps Engineer Intern,Other IT Role,DevOps/Cloud/System Engineer,-0.33284294829653216,FP/FN,Other IT Role quá rộng,kms technology was established in 2009 as a u.s. based software services company. with development centers in vietnam an
